指标ID,指标分类,指标名称,算法说明,指标单位,指标范围,评价参考
29,运行效率类,航线直线率,理想直线航程/实际飞行航程,无单位,0~1,≥0.9优秀；0.8~0.9合格
30,运行效率类,航段完成准时率,准时到达目标航点的架次/总飞行架次,无单位,0~1,≥0.95优秀；≥0.9合格
31,运行效率类,任务完成率,成功完成既定飞行任务的架次/总任务架次,无单位,0~1,≥0.98优秀；≥0.95合格
32,运行效率类,任务平均执行时间,总任务耗时/完成任务数量,s,0~T,越小越好
33,运行效率类,调度响应时延,管控指令下发到飞行器执行指令的平均时间间隔,ms,0~5000,<1000ms优秀；1000~2000ms合格
34,运行效率类,单架次作业效率,有效作业里程/总飞行里程,无单位,0~1,越大越好，≥0.85优秀
35,运行效率类,资源利用率,飞行器实际作业时间/总在线待命时间,无单位,0~1,0.7~0.9优秀；0.6~0.95合格
36,飞行性能类,航迹偏差均值,实际航迹与规划航线的垂直距离平均值,m,0~50,<10m优秀；10~20m合格；>20m不合格
37,飞行性能类,最大航迹偏差,实际航迹偏离规划航线的最大距离,m,0~200,≤50m合格；越小越好
38,飞行性能类,航迹合格率,航迹偏差小于允许阈值的航点数量/总航点数量,无单位,0~1,≥0.99优秀；≥0.98合格
39,飞行性能类,定位误差（CEP）,圆概率误差，50%定位点落入的圆形区域半径,m,0~10,<2m优秀；2~5m合格；>5m不合格
40,飞行性能类,爬升/下降精度,实际高度变化量/规划高度变化量,无单位,0.9~1.1,越接近1精度越高，合格区间0.95~1.05
41,飞行性能类,速度稳定度,飞行速度标准差/平均飞行速度,无单位,0~1,<0.05优秀；0.05~0.1合格
42,飞行性能类,姿态稳定度,俯仰角、滚转角的标准差,°,0~10,≤3°优秀；3~6°合格
43,飞行性能类,超调量,飞行速度、高度控制目标的最大超出比例,%,0~20,≤10%优秀；≤15%合格
44,飞行性能类,平均能耗,总能耗消耗/总飞行时长,kWh/min,≥0,越小越好
45,飞行性能类,续航达标率,达到规划续航时长的架次/总架次,无单位,0~1,≥0.95优秀；≥0.9合格
46,飞行性能类,单位航程能耗,总能耗消耗/实际飞行里程,kWh/km,≥0,越小越好
47,飞行性能类,载荷影响系数,满载状态下单位航程能耗/空载状态单位航程能耗,无单位,1~2,越小越好，≤1.5优秀
48,感知与通信类,目标发现概率,成功探测发现的目标数量/仿真场景内真实目标数量,无单位,0~1,≥0.99优秀；≥0.98合格
49,感知与通信类,识别准确率,正确识别目标类型的数量/总识别目标数量,无单位,0~1,≥0.98优秀；≥0.95合格
50,感知与通信类,虚警率,虚假无效告警次数/总告警次数,无单位,0~1,<0.05优秀；0.05~0.1合格
51,感知与通信类,漏警率,未探测告警的危险目标数量/真实危险目标数量,无单位,0~1,<0.001优秀；<0.005合格
52,感知与通信类,最大有效探测距离,保证目标识别率≥90%的前提下，传感器最大探测距离,m,0~10000,越大越好
53,感知与通信类,通信时延,指令/数据发送到接收的平均时间间隔,ms,0~500,<100ms优秀；100~200ms合格
54,感知与通信类,丢包率,丢失数据包数量/总传输数据包数量,无单位,0~1,<0.01优秀；0.01~0.03合格
55,感知与通信类,连通率,通信链路正常时长/总飞行时长,无单位,0~1,≥0.999优秀；≥0.998合格
56,感知与通信类,链路重建时间,通信中断后自动重建恢复的平均时长,s,0~5,≤2s优秀；2~3s合格
57,感知与通信类,指令下达成功率,成功执行指令数量/总下发指令数量,无单位,0~1,≥0.999优秀；≥0.998合格
58,感知与通信类,数据完整性,完整传输数据帧数量/总传输数据帧数量,无单位,0~1,≥0.999优秀
59,感知与通信类,数据更新频率,飞行状态、探测数据每秒更新次数,Hz,1~50,≥10Hz优秀；≥5Hz合格
60,感知与通信类,数据传输正确率,正确传输数据字节数/总传输数据字节数,无单位,0~1,≥0.9999优秀
61,监管与合规类,高度合规率,飞行高度符合管控要求的时长/总飞行时长,无单位,0~1,≥0.99优秀
62,监管与合规类,速度合规率,飞行速度符合管控要求的时长/总飞行时长,无单位,0~1,≥0.99优秀
63,监管与合规类,空域合规率,在合规空域内飞行时长/总飞行时长,无单位,0~1,≥0.99优秀
64,监管与合规类,时段合规率,在合规飞行时段内的时长/总飞行时长,无单位,0~1,≥0.99优秀
65,监管与合规类,告警准确率,真实有效告警次数/总告警次数,无单位,0~1,≥0.95优秀；≥0.9合格
66,监管与合规类,告警响应时间,系统发出告警到做出处置响应的时长,s,0~2,≤1s优秀；1~2s合格
67,监管与合规类,违规识别率,系统识别出的违规次数/真实违规次数,无单位,0~1,≥0.99优秀；≥0.98合格
68,监管与合规类,处置成功率,成功处置的违规/异常事件数/总违规/异常事件数,无单位,0~1,≥0.95优秀
69,监管与合规类,监管覆盖率,实现实时监管的空域面积/总仿真空域面积,无单位,0~1,≥0.99优秀
70,监管与合规类,多系统指令一致性,多平台、多部门下发指令一致次数/总指令次数,无单位,0~1,≥0.995优秀
71,监管与合规类,协同决策时延,多部门协同处置决策的平均时长,s,0~10,≤5s优秀；5~8s合格
72,监管与合规类,指令冲突次数,多系统、多平台下发指令矛盾的次数,次,0~N,0为优秀
73,鲁棒性与抗干扰类,风速影响系数,有风环境航迹偏差均值/无风环境航迹偏差均值,无单位,1~5,越小越好，≤2优秀
74,鲁棒性与抗干扰类,复杂气象衰减率,雨雪雾恶劣天气下系统性能/晴好天气系统性能,无单位,0~1,越大越好，≥0.85优秀
75,鲁棒性与抗干扰类,复杂气象通过率,复杂气象下完成任务架次/总任务架次,无单位,0~1,≥0.9优秀
76,鲁棒性与抗干扰类,干扰下连通保持率,电磁干扰环境下通信正常时长/总干扰时长,无单位,0~1,≥0.95优秀
77,鲁棒性与抗干扰类,抗干扰能力指数,干扰强度×干扰下系统性能的归一化数值,无单位,0~1,越大越好，≥0.8优秀
78,鲁棒性与抗干扰类,干扰恢复时间,电磁干扰结束到系统恢复正常的时长,s,0~5,≤2s优秀
79,鲁棒性与抗干扰类,丢星恢复时间,卫星导航失锁后重新捕获定位的平均时长,s,0~10,≤3s优秀；3~5s合格
80,鲁棒性与抗干扰类,断链恢复率,通信断链后自动恢复次数/总断链次数,无单位,0~1,≥0.95优秀
81,鲁棒性与抗干扰类,突发威胁规避成功率,成功规避突发障碍物、入侵飞行器的次数/总突发威胁次数,无单位,0~1,≥0.98优秀
82,综合评估类,综合安全得分,安全类指标归一化处理后，按权重加权求和得分,分,0~100,≥85优秀；70~84合格；<70不合格
83,综合评估类,综合效率得分,运行效率类指标归一化处理后，按权重加权求和得分,分,0~100,≥85优秀；70~84合格
84,综合评估类,综合性能得分,飞行性能类指标归一化处理后，按权重加权求和得分,分,0~100,≥85优秀；70~84合格
85,综合评估类,综合监管得分,监管合规类指标归一化处理后，按权重加权求和得分,分,0~100,≥85优秀；70~84合格
86,综合评估类,系统整体得分,综合安全×0.4+综合效率×0.2+综合性能×0.2+综合监管×0.2,分,0~100,≥85优秀；70~84合格
87,综合评估类,安全等级,依据综合安全得分分段判定等级,级,1~5,1级优秀；2级良好；3级合格；4级较差；5级不合格
88,综合评估类,运行等级,依据运行效率+空域流量综合判定等级,级,1~5,1级优秀；2级良好；3级合格；4级低效；5级拥堵
89,综合评估类,方案适配等级,依据仿真结果与场景需求匹配度判定等级,级,1~5,1级最优适配；2级适配；3级基本适配；4级不适配；5级完全不适配
90,综合评估类,方案提升率,(优化后指标值-优化前指标值)/优化前指标值,无单位,-1~+∞,正值为提升，数值越大提升效果越好
91,综合评估类,风险降低百分比,(优化前风险值-优化后风险值)/优化前风险值×100,%,0~100,数值越大风险降低效果越明显
